recorded_at,battery,pm_1,pm_25,pm_10,pn_03,pn_05,pn_1,pn_25,pn_5,pn_10
2026-05-22T08:17:14Z,74,8,18,20,729,531,165,0,0,0
2026-05-22T08:19:14Z,74,6,12,16,606,431,113,0,0,0
2026-05-22T08:21:14Z,74,7,17,21,739,603,130,0,0,0
2026-05-22T08:23:14Z,74,5,12,13,649,439,102,0,0,0
2026-05-22T08:25:14Z,74,6,15,16,660,466,130,0,0,0
2026-05-22T08:27:14Z,74,6,15,19,649,453,118,0,0,0
2026-05-22T08:29:14Z,74,7,16,19,654,495,153,0,0,0
2026-05-22T08:31:14Z,74,8,17,21,771,578,133,0,0,0
2026-05-22T08:33:14Z,74,8,18,21,803,551,143,0,0,0
2026-05-22T08:35:14Z,74,8,18,20,726,521,125,1,0,0
2026-05-22T08:37:14Z,74,8,17,20,676,480,139,1,0,0
2026-05-22T08:39:14Z,74,9,17,18,708,540,104,0,0,0
2026-05-22T08:41:14Z,74,6,14,15,693,442,105,0,0,0
2026-05-22T08:43:14Z,74,9,19,19,784,594,126,0,0,0
2026-05-22T08:45:14Z,74,9,16,23,729,564,157,0,0,0
2026-05-22T08:47:14Z,74,9,19,21,857,619,146,0,0,0
2026-05-22T08:49:14Z,74,8,14,16,674,499,106,0,0,0
2026-05-22T08:51:14Z,73,9,20,23,744,613,175,0,0,0
2026-05-22T08:53:14Z,73,7,15,16,740,504,107,0,0,0
2026-05-22T08:55:14Z,74,10,18,22,804,590,139,0,0,0
2026-05-22T08:57:14Z,73,7,15,17,715,559,112,0,0,0
2026-05-22T08:59:14Z,73,8,14,19,733,507,103,0,0,0
2026-05-22T09:01:14Z,73,8,19,21,825,560,141,7,0,0
2026-05-22T09:03:14Z,73,8,15,19,740,499,129,0,0,0
2026-05-22T09:05:14Z,73,10,23,28,893,684,189,2,0,0
2026-05-22T09:07:14Z,73,11,17,20,851,637,143,0,0,0
2026-05-22T09:09:14Z,73,9,20,24,901,665,207,0,0,0
2026-05-22T09:11:14Z,73,10,20,22,847,640,160,0,0,0
2026-05-22T09:13:14Z,73,10,18,26,895,659,147,0,0,0
2026-05-22T09:15:14Z,73,9,17,19,777,546,151,0,0,0
2026-05-22T09:17:14Z,73,11,20,22,895,678,151,0,0,0
2026-05-22T09:19:14Z,73,11,18,24,857,667,162,0,0,0
2026-05-22T09:21:14Z,73,12,27,27,1064,779,226,0,0,0
2026-05-22T09:23:14Z,73,11,20,22,927,648,132,0,0,0
2026-05-22T09:25:14Z,73,11,21,21,900,658,158,0,0,0
2026-05-22T09:27:14Z,73,9,23,28,856,636,141,17,0,0
2026-05-22T09:29:14Z,73,12,21,25,1000,701,181,0,0,0
2026-05-22T09:31:14Z,73,12,20,23,950,683,167,0,0,0
2026-05-22T09:33:14Z,73,11,19,20,876,628,121,0,0,0
2026-05-22T09:35:14Z,73,9,17,19,750,558,141,0,0,0
2026-05-22T09:37:14Z,72,9,18,25,824,558,162,10,0,0
2026-05-22T09:39:14Z,72,8,18,20,795,562,163,0,0,0
2026-05-22T09:41:14Z,73,9,16,17,759,557,132,0,0,0
2026-05-22T09:43:14Z,72,8,15,18,721,512,106,5,0,0
2026-05-22T09:45:14Z,72,8,16,18,717,489,146,0,0,0
2026-05-22T09:47:14Z,72,8,18,24,789,560,153,9,0,0
2026-05-22T09:49:14Z,72,8,15,17,741,570,101,0,0,0
2026-05-22T09:51:14Z,72,10,15,20,730,539,112,0,0,0
2026-05-22T09:53:14Z,72,10,17,20,851,597,153,0,0,0
2026-05-22T09:55:14Z,72,8,17,18,845,643,116,0,0,0
2026-05-22T09:57:14Z,72,9,19,22,825,586,150,0,0,0
2026-05-22T09:59:14Z,72,8,14,14,705,538,111,0,0,0
2026-05-22T10:01:14Z,72,9,17,19,851,575,118,2,0,0
2026-05-22T10:03:14Z,72,9,18,19,763,545,141,0,0,0
2026-05-22T10:05:14Z,72,8,15,24,741,548,137,4,0,0
2026-05-22T10:07:14Z,72,7,16,26,737,561,148,6,0,0
2026-05-22T10:09:14Z,72,8,19,20,734,545,152,0,0,0
2026-05-22T10:11:14Z,72,9,17,17,824,586,100,0,0,0
2026-05-22T10:13:14Z,72,10,15,17,794,557,123,0,0,0
2026-05-22T10:15:14Z,72,8,17,21,740,536,117,10,0,0
2026-05-22T10:17:14Z,72,8,19,29,830,611,167,0,0,0
2026-05-22T10:19:14Z,72,7,14,15,745,478,117,0,0,0
2026-05-22T10:21:14Z,72,9,15,20,707,526,129,11,0,0
2026-05-22T10:23:14Z,71,8,14,19,741,534,111,0,0,0
2026-05-22T10:25:14Z,71,8,15,18,729,533,116,0,0,0
2026-05-22T10:27:14Z,72,8,15,18,802,571,108,0,0,0
2026-05-22T10:29:14Z,71,10,17,18,926,629,111,0,0,0
2026-05-22T10:31:14Z,72,8,17,21,799,563,128,0,0,0
2026-05-22T10:33:14Z,71,9,16,19,801,558,95,0,0,0
